"","is_claimed","review_count","rating","restaurant_category","pickup","delivery","reservation","price","State","messaging","Open_Breakfast","Open_Lunch","Open_Dinner","Open_Late"
"291",FALSE,11,"low","breakfast",0,0,0,"Low","TX",0,0,0,0,0
"292",TRUE,1825,"high","american",0,1,0,"Medium","TX",0,0,1,1,0
"293",TRUE,95,"low","american",1,1,0,"Medium","TX",0,0,0,1,1
"294",TRUE,279,"high","asian",1,1,0,"Medium","TX",0,0,1,0,0
"295",TRUE,336,"low","asian",1,1,0,"Medium","TX",0,0,1,1,1
"296",FALSE,2,"high","asian",0,0,0,"NA","TX",0,0,1,1,1
"297",TRUE,29,"low","european",1,1,0,"NA","TX",1,1,1,1,0
"298",TRUE,19,"low","asian",1,1,0,"NA","TX",0,0,0,0,0
"299",TRUE,108,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"300",TRUE,56,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"301",TRUE,14,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"302",FALSE,29,"low","asian",0,1,0,"NA","TX",0,0,1,1,0
"303",FALSE,3,"low","other",0,0,0,"NA","TX",0,0,1,1,0
"304",FALSE,6,"low","asian",0,1,0,"NA","TX",0,0,1,1,0
"305",TRUE,90,"high","desserts",1,1,0,"Low","TX",1,1,1,1,0
"306",TRUE,26,"low","american",1,1,0,"NA","TX",1,1,1,1,1
"307",TRUE,74,"low","american",0,0,0,"Low","TX",0,1,1,1,1
"308",TRUE,41,"high","american",0,0,0,"NA","TX",0,1,1,0,0
"309",TRUE,20,"low","european",1,1,0,"NA","TX",0,0,1,1,0
"310",TRUE,35,"high","asian",1,1,0,"NA","TX",0,0,0,0,0
"311",TRUE,266,"high","asian",1,1,0,"Medium","TX",1,0,1,1,0
"312",TRUE,208,"high","american",0,1,0,"Medium","TX",1,0,1,1,0
"313",TRUE,175,"high","american",1,1,0,"Medium","TX",0,0,0,1,0
"314",TRUE,108,"low","latin",0,1,0,"NA","TX",0,1,1,1,1
"315",TRUE,121,"low","asian",0,1,0,"Medium","TX",1,0,1,0,0
"316",FALSE,3,"low","american",1,1,0,"NA","TX",0,0,1,1,1
"317",TRUE,204,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"318",TRUE,36,"low","american",1,1,0,"NA","TX",0,1,1,1,0
"319",TRUE,45,"low","american",1,1,0,"Low","TX",0,1,1,1,0
"320",TRUE,67,"low","american",0,1,0,"Low","TX",0,1,1,1,1
"321",TRUE,21,"low","american",0,0,0,"Low","TX",0,0,0,0,0
"322",TRUE,1,"high","american",0,0,0,"NA","TX",1,1,1,1,0
"323",TRUE,1,"high","breakfast",0,0,0,"NA","TX",0,1,1,0,0
"324",FALSE,1034,"high","american",0,1,0,"Medium","TX",0,0,1,0,0
"325",TRUE,716,"high","american",1,1,0,"Medium","TX",0,1,1,0,0
"326",FALSE,37,"low","latin",0,1,0,"Low","TX",0,1,1,0,0
"327",TRUE,104,"high","latin",1,1,0,"Low","TX",0,1,1,0,0
"328",TRUE,96,"high","asian",1,1,0,"Medium","TX",0,0,1,1,0
"329",TRUE,77,"low","american",1,1,0,"Low","TX",1,0,1,1,0
"330",TRUE,103,"low","american",1,1,0,"Medium","TX",0,1,1,1,0
"331",FALSE,170,"low","latin",0,1,0,"Medium","TX",0,0,1,1,0
"332",TRUE,92,"low","latin",1,1,0,"NA","TX",0,1,1,1,0
"333",TRUE,71,"high","american",0,1,0,"Low","TX",1,1,1,1,0
"334",TRUE,56,"low","european",1,1,0,"Low","TX",1,0,1,1,0
"335",TRUE,51,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"336",TRUE,53,"low","american",0,0,0,"Low","TX",0,1,1,1,1
"337",TRUE,42,"low","american",0,1,0,"Medium","TX",0,1,1,1,0
"338",TRUE,10,"low","american",0,0,0,"NA","TX",0,0,0,0,0
"339",TRUE,18,"low","american",0,0,0,"NA","TX",0,0,0,0,0
"340",TRUE,9,"low","american",0,0,0,"NA","TX",0,0,1,1,1
"341",TRUE,1,"low","american",0,0,0,"NA","TX",0,0,1,1,0
"342",TRUE,43,"high","european",0,0,0,"NA","TX",0,0,0,0,0
"343",TRUE,8,"low","asian",0,0,0,"NA","TX",0,0,1,1,1
"344",TRUE,537,"low","asian",1,0,0,"Medium","TX",0,0,1,1,1
"345",TRUE,184,"high","american",1,1,0,"Low","TX",0,1,1,1,0
"346",TRUE,23,"low","latin",0,1,0,"Low","TX",0,1,0,1,1
"347",TRUE,36,"low","asian",1,1,0,"Medium","TX",0,0,0,1,0
"348",TRUE,57,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"349",TRUE,45,"low","american",0,1,0,"Low","TX",1,1,0,1,1
"350",TRUE,15,"high","american",0,0,0,"NA","TX",1,1,1,1,0
