,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
390,aXhYVRkgf_5H0-cEFcYXpA,True,False,78,2.5,hotdogs,burgers,coffee,0,1,0,Low,3,Frisco,TX,75035,0500,0000,0
391,AWzZpYrIlJc62sE-UfWJAA,True,False,73,2.5,sandwiches,bagels,breakfast_brunch,0,1,0,Low,3,Mckinney,TX,75070,0600,1500,1
392,ZrgOQ_cxAgigoBMJjmjwvA,True,False,6,3.0,sandwiches,,,1,1,0,Low,3,Frisco,TX,75070,0900,2200,0
393,OvpiAP80c7DJ7AKTzEfQKw,True,False,40,5.0,sushi,japanese,,1,1,0,,3,McKinney,TX,75070,1100,1500,0
394,skOdw3314w8zgKiHQoLDYg,True,False,67,4.5,bakeries,desserts,vegan,1,1,0,Low,3,McKinney,TX,75070,1000,2100,1
395,GjR509PwiyddlhhFYqfz7A,True,False,385,4.0,pizza,,,0,1,0,Low,3,McKinney,TX,75070,1100,2200,1
396,5ARD6r8F8ElBUFQYLYd5TA,True,False,307,3.5,dinnertheater,,,0,1,0,Medium,3,McKinney,TX,75070,1000,0000,0
397,Z6hCGj9443bzA6FWGueQ5w,True,False,15,4.0,servicestations,convenience,hotdogs,0,0,0,Low,3,McKinney,TX,75070,0000,0000,0
398,vwlHCU1nZ36o7DRJiV-aLQ,True,False,85,3.0,burgers,hotdogs,,0,1,0,Low,3,Mckinney,TX,75070,0000,0000,0
399,yTLCJduGNoCQthPTEF7S-A,True,False,58,2.5,bbq,tradamerican,chicken_wings,1,1,0,Medium,3,McKinney,TX,75070,1100,2100,0
400,7JDoHq4CVcyX6rUG8umgqA,True,False,58,1.5,hotdogs,mexican,,0,1,0,Low,3,McKinney,TX,75070,0800,0200,0
401,1M6R5YO87u7qdZLBC7pzTQ,True,False,91,3.5,hotdogs,chickenshop,salad,0,1,0,Low,3,Mckinney,TX,75070,0600,2200,1
402,i0OoO-IfchgdM46gH8poJA,True,False,186,4.5,icecream,mexican,catering,1,1,0,Low,3,Frisco,TX,75036,1100,2200,1
403,3m1fFOsPlS2cpq1hBCPShA,True,False,872,4.5,breakfast_brunch,sandwiches,burgers,0,1,0,Medium,3,Frisco,TX,75034,0700,1430,0
404,eVv3L2EFs1BiC85xb9fjKQ,False,False,90,3.5,sportsbars,tradamerican,,1,1,0,Medium,3,Frisco,TX,75034,,,0
405,Q3-03ugxTJQdb1uiiu8OOg,True,False,226,4.0,thai,chinese,asianfusion,0,1,0,Medium,3,Frisco,TX,75034,1100,2130,0
406,Oc21t1r_VYI8ua_4vl4yBA,True,False,56,1.5,hotdogs,burgers,coffee,0,1,0,Low,3,Frisco,TX,75034,0500,0000,0
407,KOdQv5TtIXNju-ZIUpahEA,False,False,14,2.5,hotdogs,chicken_wings,,0,1,0,,3,Frisco,TX,75034,1000,2300,0
408,OZt4IgydXAJY-mxkdvOchA,True,False,25,2.0,hotdogs,burgers,,0,1,0,Low,3,Dallas,TX,75034,1000,0000,1
409,pk-llAKgf8b1a9HY1UHszw,True,False,18,2.0,sandwiches,,,1,1,0,Low,3,Frisco,TX,75036,0800,2100,0
410,rI9NXTUM5cUB6xwMWsqWxQ,True,False,690,4.0,newamerican,mediterranean,wine_bars,1,0,0,Medium,3,Frisco,TX,75034,1100,2200,0
411,gYvN7itwBu9c1t9dlQVs2Q,True,False,178,4.0,newamerican,cocktailbars,breakfast_brunch,1,1,0,Medium,3,Frisco,TX,75034,1100,2130,0
412,BbYl_rVZDFPQyT6tuNQDBw,True,False,396,4.5,breakfast_brunch,coffee,tradamerican,1,1,0,Medium,3,Frisco,TX,75034,0700,1500,0
413,1fo-TvPTzcFeWLGXB3fzTQ,True,False,378,4.0,italian,modern_european,wine_bars,0,1,0,Medium,3,Frisco,TX,75034,1100,2200,0
414,1sG3OSwCjK-vT_CuLY4wEg,True,False,297,4.0,cocktailbars,newamerican,,0,1,0,Medium,3,Frisco,TX,75034,1600,2300,0
415,UQ0ejf1a9Ob33UnBGHbdOA,True,False,63,4.5,sushi,japanese,,0,1,0,High,3,Frisco,TX,75034,1730,2200,0
416,opFjbZ9NAOjefao_zGly6Q,True,False,118,4.0,tacos,,,1,1,0,,3,Frisco,TX,75034,1100,2200,1
417,Br61jGdeSyqGUJfaBIz7iw,False,False,240,3.5,mexican,tex-mex,,0,1,0,Medium,3,Frisco,TX,75034,1100,2100,0
418,IxyWVgibGUBLYGVkAzvaJA,True,False,61,3.5,hotdogs,chinese,,1,1,0,Low,3,Frisco,TX,75034,1100,2200,0
419,kXc01zB4yjLat1zl3mOeWA,True,False,17,3.0,indpak,buffets,,1,1,0,Medium,3,Frisco,TX,75034,1100,1400,1
420,Kt3mqOpwOMK3NiNtOPWXqQ,True,False,28,4.5,bakeries,desserts,vegan,1,1,0,Low,3,Frisco,TX,75034,0900,2100,1
